"portal","geo","month","NormalizedSI","pctTot"
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",4,1.01968035672034,0.0849733630600282
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",5,1.24734020885117,0.103945017404264
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",6,1.47124674051181,0.122603895042651
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",7,1.48658786165378,0.123882321804482
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",8,1.40899295535873,0.117416079613228
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",9,1.04596073490634,0.0871633945755287
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",10,0.636293196603546,0.0530244330502955
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",11,0.553759296706728,0.046146608058894
"Portal - Boat Trader Online","US_Mid_Atlantic - Geographical Area",12,0.561006886088053,0.0467505738406711
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",1,0.721117050810996,0.060093087567583
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",2,0.831517417500148,0.0692931181250123
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",3,0.967801300447179,0.0806501083705983
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",4,1.021888175534,0.085157347961167
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",5,1.23161842740592,0.102634868950494
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",6,1.35838244386738,0.113198536988948
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",7,1.49552225009267,0.124626854174389
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",8,1.49681795715478,0.124734829762899
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",9,1.15177121155009,0.095980934295841
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",10,0.659155501417222,0.0549296251181018
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",11,0.555924083290725,0.0463270069408938
"Portal - Boat Trader Online","US_NY_NJ - Geographical Area",12,0.50848418092888,0.0423736817440733
"Portal - YachtWorld","Europe - Geographical Area",1,0.939875460156693,0.0783229550130578
"Portal - YachtWorld","Europe - Geographical Area",2,0.906965864176439,0.0755804886813699
"Portal - YachtWorld","Europe - Geographical Area",3,0.921467769302847,0.0767889807752373
"Portal - YachtWorld","Europe - Geographical Area",4,0.851972327682568,0.0709976939735474
"Portal - YachtWorld","Europe - Geographical Area",5,0.995736459357495,0.0829780382797912
"Portal - YachtWorld","Europe - Geographical Area",6,1.01372492553735,0.0844770771281126
"Portal - YachtWorld","Europe - Geographical Area",7,1.1874212949516,0.0989517745792998
"Portal - YachtWorld","Europe - Geographical Area",8,1.44342250396397,0.120285208663664
"Portal - YachtWorld","Europe - Geographical Area",9,1.21550549190291,0.101292124325242
"Portal - YachtWorld","Europe - Geographical Area",10,0.946844358799947,0.0789036965666622
"Portal - YachtWorld","Europe - Geographical Area",11,0.805312235847024,0.067109352987252
"Portal - YachtWorld","Europe - Geographical Area",12,0.771751308321155,0.0643126090267629
"Portal - YachtWorld","UK - Geographical Area",1,0.961229295956246,0.0801024413296872
"Portal - YachtWorld","UK - Geographical Area",2,0.812836553088028,0.0677363794240023
"Portal - YachtWorld","UK - Geographical Area",3,0.869980056464067,0.0724983380386723
"Portal - YachtWorld","UK - Geographical Area",4,0.915064180147082,0.0762553483455901
"Portal - YachtWorld","UK - Geographical Area",5,1.08447977978156,0.0903733149817966
"Portal - YachtWorld","UK - Geographical Area",6,1.05347529442189,0.0877896078684907
"Portal - YachtWorld","UK - Geographical Area",7,1.14465901923975,0.0953882516033129
"Portal - YachtWorld","UK - Geographical Area",8,1.34710437674236,0.112258698061863
"Portal - YachtWorld","UK - Geographical Area",9,1.23962889056749,0.10330240754729
"Portal - YachtWorld","UK - Geographical Area",10,0.992339407015318,0.0826949505846098
"Portal - YachtWorld","UK - Geographical Area",11,0.865214198166403,0.0721011831805335
"Portal - YachtWorld","UK - Geographical Area",12,0.713988948409812,0.059499079034151
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",1,0.940860247242413,0.0784050206035344
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",2,0.965941075478011,0.0804950896231676
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",3,0.967746537915168,0.080645544826264
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",4,0.852992514413916,0.071082709534493
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",5,0.959833027196909,0.0799860855997424
"Portal - YachtWorld","RussiaScandinavia - Geographical Area",6,1.02257690593137,0.0852147421609474
